Timestamp,Elapsed_Time_s,CAN_Message
2025-09-20T16:13:20.581436,3.239,"can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00
  can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00"
2025-09-20T16:13:30.679906,13.338,"can1  110  [02]  B8 0B
  can1  110  [02]  B8 0B"
2025-09-20T16:13:40.760497,23.418,"can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00
  can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00"
2025-09-20T16:13:50.628111,33.286,"can1  110  [02]  A0 0F
  can1  110  [02]  A0 0F"
2025-09-20T16:14:00.994686,43.652,"can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00
  can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00"
2025-09-20T16:14:10.803842,53.462,"can1  110  [02]  70 17
  can1  110  [02]  70 17"
2025-09-20T16:14:20.536519,63.194,"can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00
  can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00"
2025-09-20T16:14:30.863164,73.521,"can1  110  [02]  28 23
  can1  110  [02]  28 23"
2025-09-20T16:14:40.729082,83.387,"can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00
  can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00"
2025-09-20T16:14:50.716501,93.374,"can1  110  [02]  10 27
  can1  110  [02]  10 27"
2025-09-20T16:15:01.111067,103.769,"can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00
  can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00"
2025-09-20T16:15:10.815700,113.473,"can1  110  [02]  58 1B
  can1  110  [02]  58 1B"
2025-09-20T16:15:21.038077,123.696,"can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00
  can1  206  [16]  C0 5D 96 00 40 1F C9 41 60 75 C8 32 58 31 00 00"
2025-09-20T16:15:31.327811,133.986,"can1  110  [02]  E8 03
  can1  110  [02]  E8 03"
